"sku","quantity","threshold"
"KDVT1000",25,5
"KDKB1254",25,5
"KDVT1001",25,5
"KDVT2013",25,5
"KDVT1017",25,5
"KDVT1018",25,5
"KDVT1002",25,5
"KDVT1020",25,5
"KDVT1016",25,5
"KDVT1019",25,5
"KDAC200",25,5
"KDTL106",25,5
"KDKB249",25,5
"KDKB250",25,5
"KDKB244",25,5
"KDTL105",25,5
"KDKB243",25,5
"KDVT1023",25,5
"KDKB248",25,5
"KDKB247",25,5
"KDQ063",25,5
"KDQ036",25,5
"KDQ061",25,5
"KDQ062",25,5
"KDMR124",25,5
"KDQ059",25,5
"KDST131",25,5
"KD5106",25,5
"KDVT1024",25,5
"KDKB241",25,5
"KDVT1025",25,5
"KDVT1027",25,5
"KDVT1028",25,5
"KDVT1029",25,5
"KDVT1026",25,5
"KDVT1022",25,5
"KDQ058",25,5
"KDQ052",25,5
"KDQ055",25,5
"KDQ053",25,5
"KDQ057",25,5
"KDQ056",25,5
"KDQ051",25,5
"KDKB246",25,5
"KDQ054",25,5
"KDVT2014",25,5
"KDQ060",25,5
"KDQ050",25,5
"KDKB251",25,5
"KDMR129",25,5
"PK-BB5-1",25,5
"PK-BB5-3",25,5
"KDVT1031",25,5
"KDVT1021",25,5
"KDVT1030",25,5
"KD5108",25,5
"KDQ064",25,5
"KDKB1264",25,5
"MTBB105",25,5
"KDDE201-1",25,5
"KDDE201-2",25,5
"KDDE201-1C",25,5
"KD812",25,5
"KDDE201-2C",25,5
"KDDE201-3",25,5
"KDQ080",25,5
"KDDE201-4",25,5
"KDDE201-5",25,5
"KDDE201-6",25,5
"KDDE201-7",25,5
"KDDE201-8",25,5
"KDDE201-9",25,5
"KDDE201-11",25,5
"KDDE201-12",25,5
"KDDE201-13",25,5
"KDDE201-10",25,5
"KDDE201",25,5
"KD811",25,5
"Starter Bundle",25,5
"Standard Bundle",25,5
"Ultimate Bundle",25,5
"KDQ079",25,5
"KDKB1263",25,5
"KDKB1261",25,5
"KDQ083",25,5
"KDDE201-1B",25,5
"KDQ071",25,5
"KD5113",25,5
"KDEV374",25,5
"KDQ072",25,5
"KDQ074",25,5
"KDVT1032",25,5
"KDKB1262",25,5
"KDKB256",25,5
"KDMR108",25,5
"KDQ070",25,5
"KDQ073",25,5
"KDKB255",25,5
"KDQ076",25,5
"KDQ081",25,5
"KDQ082",25,5
"KDQ085",25,5
"KDQ086",25,5
"KDQ084",25,5
"KDDE201-2B",25,5
"KDKB254",25,5
"KDQ067",25,5
"KDEV364",25,5
"KDQ065",25,5
"KDQ068",25,5
"KDQ069",25,5
"KDQ066",25,5
"KDDE201-3B",25,5
"KDVT1045",25,5
"KDQ078",25,5
"KDQ075",25,5
"KDQ087",25,5
"KDVT1042",25,5
"KDVT2023",25,5
"KDVT1043",25,5
"KDVT2024",25,5
"KDFD001",25,5
"KDFD002",25,5
"KDFD005",25,5
"KDFD006",25,5
"KDFD003",25,5
"KDFD007",25,5
"KDFD008",25,5
"KDFD010",25,5
"KDFD009",25,5
"KDFD011",25,5
"KDQ094",25,5
"KDFD012",25,5
"KDVT2018",25,5
"KDVT1041",25,5
"KDVT2022",25,5
"KDVT1040",25,5
"KDVT2021",25,5
"KDVT1035",25,5
"KDVT2015",25,5
"KDVT1036",25,5
"KDVT2017",25,5
"KD5117",25,5
"KDQ093",25,5
"KDQ095",25,5
"KDVT1039",25,5
"KDVT2020",25,5
"KDDE201-4B",25,5
"KDQ077",25,5
"KDFD013",25,5
"KDDL1033",25,5
"KDST142",25,5
"KDST141",25,5
"KDQ106",25,5
"KDQ110",25,5
"KDVT1050",25,5
"KDQ107",25,5
"KDQ108",25,5
"KDVT1038",25,5
"KDVT2019",25,5
"KDVT1049",25,5
"KDVT2029",25,5
"KDVT1051",25,5
"KDVT2027",25,5
"KDVT1048",25,5
"KDVT2026",25,5
"KDVT2030",25,5
"KDVT1047",25,5
"KDVT2025",25,5
"KDDL011",25,5
"KDVT2016",25,5
"KDVT2028",25,5
"KDDE201-5B",25,5
"KDQ109",25,5
"KDQ111",25,5
"KDMR144-KIT",25,5
"KDMR143",25,5
"KDQ112",25,5
"KDVT1055",25,5
"KDVT1054",25,5
"KDVT1052",25,5
"KDQ114",25,5
"KDQ115",25,5
"KDQ113",25,5
"KDVT1056",25,5
"KDVT1058",25,5
"KDVT1057",25,5
"KDQ090",25,5
"KDQ091",25,5
"KDQ089",25,5
"KDQ092",25,5
"KDQ088",25,5
"KDQ116",25,5
"KDVT1062",25,5
"MTBB106",25,5
"KDEV367",25,5
"KDVT1060",25,5
"KDVT1059",25,5
"KDDL015",25,5
"KDQ118",25,5
"KDVT1061",25,5
"KDDE201-6B",25,5
"KDQ119",25,5
"KDQ117",25,5
"KDVT1066",25,5
"KDDE201-13B",25,5
"KDVT1074",25,5
"KDDE201-8B",25,5
"KDDE201-7B",25,5
"KDVT1065",25,5
"KDVT1063",25,5
"KDVT1064",25,5
"KDVT1073",25,5
"KDDE201-10B",25,5
"KDDE201-11B",25,5
"KDVT1072",25,5
"KDDE201-9B",25,5
"KDKB1265",25,5
"KD5118",25,5
"KDTL109",25,5
"KDQ120",25,5
"KDQ121",25,5
"KDVT2031",25,5
"KDMR131",25,5
"KDQ102",25,5
"KDQ096",25,5
"KDQ098",25,5
"KDDL1034",25,5
"KDQ100",25,5
"KDQ097",25,5
"KDQ122",25,5
"KDDL013",25,5
"KDDL014",25,5
"KDQ103",25,5
"KDQ123",25,5
"KDDL012",25,5
"KDSTSW",25,5
"KDQ101",25,5
"KDQ099",25,5
"KDVT1075",25,5
"KDQ104",25,5
"KDQ179",25,5
"KDQ2207",25,5
"KDQ134",25,5
"KDQ137",25,5
"KDQ136",25,5
"KDDL019",25,5
"KDQ177",25,5
"KDEV371",25,5
"KDQ176",25,5
"KDQ146",25,5
"KDQ145",25,5
"KDQ178",25,5
"KDQ135",25,5
"KDQ175",25,5
"KDVT2032",25,5
"KDQ169",25,5
"KDQ138",25,5
"KDQ150",25,5
"KDQ133",25,5
"KD5110",25,5
"KDKB260",25,5
"KDDL1044",25,5
"KDDL1047",25,5
"KDDL1074",25,5
"KDDL1048",25,5
"KDDL1049",25,5
"KDDL1050",25,5
"KDDL1051",25,5
"KDDL1052",25,5
"KDDL1053",25,5
"KDDL1054",25,5
"KDDL1055",25,5
"KDDL1056",25,5
"KDDL1057",25,5
"KDDL1058",25,5
"KDDL1059",25,5
