"sku","quantity","threshold"
"KMEK1001",80,25
"KD5140",90,10
"KPNK1009",50,3
"KDQ386",0,5
"MTPP2207-D",0,5
"MTPP2208-D",25,5
"MTPP2209-D",0,5
"MTPP2210-D",0,5
"MTPP2211-D",0,5
"MTPP2212-D",150,5
"MTPP2301-D",0,5
"MTPP2302-D",0,5
"MTPP2303-D",0,5
"MTPP2304-D",25,5
"KD558",25,5
"KDVT1005",25,5
"KDVT1004",25,5
"KDQ021",0,5
"KDQ014",0,5
"KDQ020",25,5
"KDQ018",0,5
"KDQ016",0,5
"JS008",0,5
"KDQ017",0,5
"KDQ012",0,5
"KDQ010",0,5
"KDQ009",0,5
"KDQ015",25,5
"KDQ011",0,5
"KDQ006",0,5
"KDQ007",25,5
"KDQ008",0,5
"KDQ004",25,5
"KDQ001",0,5
"KDQ002",0,5
"KDQ005",0,5
"KDQ003",0,5
"JS007",0,5
"KDMR110",0,5
"KDMR111",0,5
"KDMR117",0,5
"KDMR112",0,5
"KDMR118",0,5
"KDMR113",0,5
"KDMR119",0,5
"KDMR114",0,5
"KDMR120",0,5
"KDMR115",0,5
"KDMR121",0,5
"KDMR116",0,5
"JS001",0,5
"KDBB002",0,5
"JS002",0,5
"KDBB001",0,5
"KDQ039",25,5
"KDQ035",0,5
"KDQ022",25,5
"KDQ032",0,5
"KDBB103",0,5
"JS009",25,5
"JS0010",25,5
"JS0011",25,5
"JS003",25,5
"JS010",0,5
"JS004",0,5
"JS006",25,5
"JS005",25,5
"KDQ013",0,5
"KDQ019",0,5
"KDQ034",0,5
"KDQ040",25,5
"KDQ042",25,5
"KDQ024",0,5
"KDQ023",0,5
"KDQ043",0,5
"KDQ045",0,5
"KDQ044",0,5
"KDQ047",0,5
"KDQ048",0,5
"KDQ046",0,5
"KDQ041",0,5
"KDQ038",0,5
"KDQ037",0,5
"KDQ031",0,5
"KDQ033",0,5
"KDQ030",0,5
"KDQ029",0,5
"KDQ028",0,5
"KDQ027",0,5
"KDQ026",0,5
"KDQ049",0,5
"KD515",25,5
"KDQ025",25,5
"KD514",0,5
"KDKB168",25,5
"KDTL100",0,5
"KDTL102",100,5
"KDTL101",0,5
"KD570",25,5
"KD516",0,5
"KD521",0,5
"KD523",25,5
"KD522",0,5
"KD526",0,5
"KD524",0,5
"KD525",0,5
"KD530",0,5
"KD508",0,5
"KD701",0,5
"KD517",0,5
"KD527",0,5
"KD507",0,5
"KD528",0,5
"KDST132",0,5
"KD529",0,5
"KDST129",0,5
"KD801",0,5
"KD542",0,5
"KDKB202",0,5
"KD548",0,5
"KD547",0,5
"KDEX101",0,5
"KDKB201",0,5
"KDKB128",0,5
"KD802",0,5
"KDKB205",0,5
"KD553",0,5
"KDKB133",25,5
"KDKB145",0,5
"KD804",25,5
"KDKB206",0,5
"KDKB149",25,5
"KDKB155",0,5
"KDEX103",20,5
"KD575",25,5
"KD571",0,5
"KD805",0,5
"KD568",0,5
"KDKB167",0,5
"KD900",0,5
"KDKB166",0,5
"KD581",0,5
"KD585",0,5
"KDMR504",0,5
"KD806",0,5
"KDMR503",0,5
"KDMR501",0,5
"KD576",25,5
"KD586",0,5
"KDKB170",0,5
"KD577",0,5
"KDKB172",0,5
"KD588",0,5
"KDKB215",0,5
"KDKB213",0,5
"KDKB178",25,5
"KDKB176",25,5
"KDKB214",0,5
"KDKB180",25,5
"KD201",0,5
"KDEX104",0,5
"KD587",0,5
"KDKB173",0,5
"KDKB186",0,5
"KD807",0,5
"KDKB179",0,5
"KDMR122",0,5
"KDKB194",0,5
"KDKB216",0,5
"KDKB224",0,5
"KDKB184",0,5
"KD808",0,5
"KDKB1210",0,5
"KD202",0,5
"KD594",0,5
"KDKB1214",0,5
"KDKB1204",0,5
"KDKB1212",0,5
"KD590",0,5
"KDKB1203",0,5
"KDKB1205",0,5
"KD593",0,5
"KDTL104",0,5
"KDKB1268",0,5
"KDKB1269",0,5
"KDKB1234",0,5
"KDKB1258",0,5
"KDKB1235",0,5
"KDKB1232",0,5
"KDKB1240",0,5
"KDKB1257",0,5
"KDKB1238",0,5
"KDKB1260",0,5
"KDKB1239",0,5
